pid	sen_a	sen_b	label
57	Could Procardia or Mevacor cause tinnitus?	Let's give these immunizations.  That's right isn't it?	false
58	I'm always uncomfortable with how quickly to move in terms of workup (patient had been having TIA (transient ischemic attack) symptoms for several weeks)	Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.	true
59	In this patient with TIAs (transient ischemic attacks) and no cardiac murmur, should I do an echocardiogram anyway?	In this patient with transient ischemic attacks and no murmur, should I do an echocardiogram anyway?	true
60	In this patient with TIAs (transient ischemic attacks) and no cardiac murmur, should I do an echocardiogram anyway?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
61	This patient had a nonstress test one week ago and at the end of every acceleration there was a brief sharp spike not very deep deceleration.  Is this important?	On nonstress test after every acceleration brief sharp not deep deceleration. Important?	true
62	This patient had a nonstress test one week ago and at the end of every acceleration there was a brief sharp spike not very deep deceleration.  Is this important?	Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)	false
63	How should I workup this baby with a single umbilical artery?  Thirty percent of such babies have anomalies but where should I look if not obvious on physical exam?	How should I workup this baby with a single umbilical artery?	true
64	Do I need to wait until the baby is a certain age before I do the renal ultrasound for single umbilical artery?	Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?	true
65	This isn't a question but when I looked at her rash, I asked myself is it shingles or possibly staphylococcal impetigo?  It isn't worth the cost of a test to find out.	Is this rash shingles or staphylococcal impetigo?	true
66	This isn't a question but when I looked at her rash, I asked myself is it shingles or possibly staphylococcal impetigo?  It isn't worth the cost of a test to find out.	Is melatonin good for anything?  What is the dose?	false
67	The patient has been symptomatic with shingles for 4 days -- Can I still give Zovirax?	Has had shingles for 4 days -- Can I still give Zovirax?	true
68	The patient has been symptomatic with shingles for 4 days -- Can I still give Zovirax?	How should I treat polymenorrhea in a 14-year-old girl?	false
69	What is a good steroid eye drop?	What is a good steroid eye drop?	true
70	What is a good steroid eye drop?	What is the dose of Sporanox?	false
71	What should I do with this patient whose biopsy report shows carcinoma in situ of the vulva?	What to do with this patient, biopsy shows carcinoma in situ of the vulva?	true
72	What should I do with this patient whose biopsy report shows carcinoma in situ of the vulva?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
73	What is the dose of Neurontin?	What is the dose of Neurontin?	true
74	What is the dose of Neurontin?	I wonder if this patient could have a rotator cuff thing?	false
75	Had shortness of breath which is unusual for her.  Doctor wishes she had access to a list of things that might cause shortness of breath in a normally healthy 28-year-old.  Concerned about pulmonary embolism.	Why is this otherwise healthy 28-year-old woman short of breath?	true
76	Had shortness of breath which is unusual for her.  Doctor wishes she had access to a list of things that might cause shortness of breath in a normally healthy 28-year-old.  Concerned about pulmonary embolism.	Let's give these immunizations.  That's right isn't it?	false
77	Doctor would like a better way to introduce the subject of sexually transmitted disease -- open rather than closed question -- to get the information she needs.  Now she asks "Are you careful about protecting yourself against sexually transmitted diseases?"  Her question is whether there is a better way to ask this.	Is there a better way to introduce the subject of sexually transmitted disease?	true
78	Doctor would like a better way to introduce the subject of sexually transmitted disease -- open rather than closed question -- to get the information she needs.  Now she asks "Are you careful about protecting yourself against sexually transmitted diseases?"  Her question is whether there is a better way to ask this.	I wonder if this patient could have a rotator cuff thing?	false
79	Are there better materials on natural family planning than what I have?	Are there better patient education materials on natural family planning than what I have?	true
80	Are there better materials on natural family planning than what I have?	Diabetic on insulin. Will new medications (Glucophage, acarbose) allow him to get off?	false
81	Can testes not being in the scrotum come from just being tense?	Can testes not being in the scrotum come from just being tense?	true
82	Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?	Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?	true
83	Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?	What is the cause and treatment of this old man's stomatitis?	false
84	Patient is reluctant to take medications so I have been treating with smaller doses than I would with some other patients.  How do I control her hypertension and still get her cooperation?	Patient reluctant to take medication. How to control hypertension and still get her cooperation?	true
85	Patient is reluctant to take medications so I have been treating with smaller doses than I would with some other patients.  How do I control her hypertension and still get her cooperation?	Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)	false
86	He has had several ear infections and doesn't get over them completely -- (about 1 month duration).  Is there a particular organism I should be after?  Should I use another antibiotic than I use for an older child?	Several ear infections, doesn't get over them completely.  Which antibiotic now?	true
87	He has had several ear infections and doesn't get over them completely -- (about 1 month duration).  Is there a particular organism I should be after?  Should I use another antibiotic than I use for an older child?	I wonder if this patient could have a rotator cuff thing?	false
88	At age 4 has had two simple bladder infections with no upper symptoms.  Question is should I just treat or do more evaluation of the cause?	Age 4 years, has had 2 bladder infections, just treat or workup for cause?	true
89	At age 4 has had two simple bladder infections with no upper symptoms.  Question is should I just treat or do more evaluation of the cause?	Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.	false
90	Doctor X thinks he is probably just a normal 18 month old but would like to know if there are a certain number of respiratory infections that are considered normal for that age.	Probably a normal 18 month old but how many respiratory infections are normal?	true
91	Doctor X thinks he is probably just a normal 18 month old but would like to know if there are a certain number of respiratory infections that are considered normal for that age.	How should I treat polymenorrhea in a 14-year-old girl?	false
92	Can Staphylococcus or Haemophilus influenza septicemia give the same clinical picture as streptococcal septicemia (fever, rash, joint pain, vomiting).	Can Staphylococcus or Haemophilus influenza sepsis give same clinical picture as streptococcal septicemia?	true
93	Can Staphylococcus or Haemophilus influenza septicemia give the same clinical picture as streptococcal septicemia (fever, rash, joint pain, vomiting).	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
94	What is the cause of this woman's long term head shaking (tremor)?	What is the cause of this woman's long term head shaking (tremor)?	true
95	What is the cause of this woman's long term head shaking (tremor)?	What is the cause of this woman's long term head shaking (tremor)?	false
96	What do you do with a lead level of 10 in an 11 month old which is borderline high?  What is the management besides getting them out of the spot?	What do you do with a lead level of 10 in an 11 month old?	true
97	What do you do with a lead level of 10 in an 11 month old which is borderline high?  What is the management besides getting them out of the spot?	How should I treat polymenorrhea in a 14-year-old girl?	false
98	I don't know what antibiotics he can't take because he's on a nevirapine study (nonnucleoside protease inhibitor) (Viramune).	What antibiotics can he take because he's on a nevirapine study?	true
99	I don't know what antibiotics he can't take because he's on a nevirapine study (nonnucleoside protease inhibitor) (Viramune).	How should I treat polymenorrhea in a 14-year-old girl?	false
100	What is Endolimax nana and should you treat it?	Patient with diarrhea.  What is Endolimax nana (on stool sample) and should you treat it?	true
101	What is Endolimax nana and should you treat it?	What are the indications for getting a digoxin level?	false
102	50-year-old man with Paget's disease.  Should I treat medically?	50-year-old man with Paget's disease.  Should I treat medically?	true
103	A diabetic on insulin.  Will these new medications (Glucophage, acarbose) allow me to get off insulin?  Physician did not know answer.	Diabetic on insulin. Will new medications (Glucophage, acarbose) allow him to get off?	true
104	A diabetic on insulin.  Will these new medications (Glucophage, acarbose) allow me to get off insulin?  Physician did not know answer.	Let's give these immunizations.  That's right isn't it?	false
105	A hospital nurse who never had chicken pox, negative titers, and frequently had to miss work, two years ago.  I don't know if there are any recommendations about giving chicken pox vaccine to susceptible health care workers.	Hospital nurse never had chicken pox, negative titers, should I give vaccine?	true
106	A hospital nurse who never had chicken pox, negative titers, and frequently had to miss work, two years ago.  I don't know if there are any recommendations about giving chicken pox vaccine to susceptible health care workers.	What is the cause and treatment of this old man's stomatitis?	false
107	What do we do with mammogram, cholesterol, and pap smear screening in women over 70?  What is a good source that is both scientific and yet has common sense about what is cost effective and what Medicare will pay for?	What do we do with mammogram, cholesterol, and Papanicolaou smears in women over 70?	true
108	What do we do with mammogram, cholesterol, and pap smear screening in women over 70?  What is a good source that is both scientific and yet has common sense about what is cost effective and what Medicare will pay for?	Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?	false
109	How old should a child be before they can switch from whole milk to 2% milk?	How old should a child be before they can switch from whole milk to 2% milk?	true
110	How old should a child be before they can switch from whole milk to 2% milk?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
111	Is it ever recommended these days in a young man with recurrent peptic ulcer disease to have a vagotomy?  Will his health maintenance organization pay for it?	Young man with recurrent peptic ulcer disease; do vagotomy?  Will health maintenance organization pay?	true
112	Is it ever recommended these days in a young man with recurrent peptic ulcer disease to have a vagotomy?  Will his health maintenance organization pay for it?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
113	Is there any support group in this town for this patient who is going blind from macular degeneration?	Is there a support group here for this patient going blind from macular degeneration?	true
114	It's just the age old question, "How do you convince someone they are depressed when they don't want to accept it?"	How to convince someone they are depressed when they don't want to accept it?	true
115	It's just the age old question, "How do you convince someone they are depressed when they don't want to accept it?"	I wonder if this patient could have a rotator cuff thing?	false
116	Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?  She had it one year ago from an intrauterine device.	Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?	true
117	Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?  She had it one year ago from an intrauterine device.	How should I treat polymenorrhea in a 14-year-old girl?	false
118	Could this patient with pelvic inflammatory disease and generalized abdominal pain have Fitz-Hugh-Curtis syndrome?	Patient with pelvic inflammatory disease and generalized abdominal pain, is it Fitz-Hugh-Curtis syndrome?	true
119	Could this patient with pelvic inflammatory disease and generalized abdominal pain have Fitz-Hugh-Curtis syndrome?	Is melatonin good for anything?  What is the dose?	false
120	What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?	What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?	true
121	What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?	How should I treat polymenorrhea in a 14-year-old girl?	false
122	What should you do with someone who is not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs have not worked?	Patient not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs; what to do?	true
123	What should you do with someone who is not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs have not worked?	How should I treat polymenorrhea in a 14-year-old girl?	false
124	Two months ago I saw a patient and all her aunts (5 or 6 of them) had ovarian cancer.  The question is, is there a study going on someplace I should refer her to?	Patient, all her aunts (5 or 6) had ovarian cancer.  Is there a study to refer her to?	true
125	Two months ago I saw a patient and all her aunts (5 or 6 of them) had ovarian cancer.  The question is, is there a study going on someplace I should refer her to?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	false
126	Is there a review or an answer to whether patients with osteoporosis should get bone densitometry, because now we have Fosamax?	Should patients with osteoporosis get bone densitometry, because now we have Fosamax?	true
127	Is there a review or an answer to whether patients with osteoporosis should get bone densitometry, because now we have Fosamax?	Is melatonin good for anything?  What is the dose?	false
128	What are the various strengths of Synthroid and what is appropriate for this patient?	What are the strengths of Synthroid and what is appropriate for this patient?	true
129	What are the various strengths of Synthroid and what is appropriate for this patient?	Let's give these immunizations.  That's right isn't it?	false
130	What are the long-term options for treatment of hemorrhagic gastritis beyond H-2 blockers and antacids?	What are long-term options for hemorrhagic gastritis beyond H2 blockers?	true
131	What are the long-term options for treatment of hemorrhagic gastritis beyond H-2 blockers and antacids?	Why did she get Coccidiomycosis?	false
132	What are the side effects of Florinef?  Could it cause headaches?	What are the side effects of Florinef?  Could it cause headaches?	true
133	What are the side effects of Florinef?  Could it cause headaches?	What are the indications for getting a digoxin level?	false
134	In this patient with back pain, how do you make a diagnosis of arachnoiditis and how do you treat it?	Patient with back pain, how to diagnose arachnoiditis and how to treat it?	true
135	In this patient with back pain, how do you make a diagnosis of arachnoiditis and how do you treat it?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
136	Is Aeromonas caviae pathogenic?	Is Aeromonas caviae pathogenic?	true
137	What is the bulletin for patients with Crohn's disease and how do you get a patient on the mailing list for this?	What is the bulletin for patients with Crohn's and how to get them on mailing list?	true
138	Is there more support we can provide to patients with macular degeneration?	Is there more support we can provide patients with macular degeneration?	true
139	Will the fumes created by taking off a basal cell carcinoma with cautery affect the physician taking it off?	Will fumes created by taking off a basal cell carcinoma with cautery affect the physician?	true
140	Will the fumes created by taking off a basal cell carcinoma with cautery affect the physician taking it off?	How should I treat polymenorrhea in a 14-year-old girl?	false
141	This patient complains that normal sounds sound too loud.  What should I do about that?	Patient complains that normal sounds sound too loud.  What should I do about that?	true
142	This patient has a history of irregular heart beat, bigeminy and trigeminy.  He's having a few brief runs occasionally now.  On Quinidine in the past.  Should I treat these?	Patient with bigeminy and trigeminy.  Should I treat these?	true
143	This patient has a history of irregular heart beat, bigeminy and trigeminy.  He's having a few brief runs occasionally now.  On Quinidine in the past.  Should I treat these?	How should I treat polymenorrhea in a 14-year-old girl?	false
144	In a patient with a history of rheumatic fever, do you need to use subacute bacterial endocarditis prophylaxis for pilonidal cyst excision?	Patient with history of rheumatic fever, need subacute bacterial endocarditis prophylaxis for pilonidal cyst excision?	true
145	In a patient with a history of rheumatic fever, do you need to use subacute bacterial endocarditis prophylaxis for pilonidal cyst excision?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
146	After starting treatment for a step throat, how long does the patient need to stay out of work or school?	After starting treatment for streptococcal sore throat, how long to stay out of work or school?	true
147	After starting treatment for a step throat, how long does the patient need to stay out of work or school?	How should I treat polymenorrhea in a 14-year-old girl?	false
148	How long should you keep a patient with conjunctivitis out of school?	How long should you keep a patient with conjunctivitis out of school?	true
149	How long should you keep a patient with conjunctivitis out of school?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
150	How long should you wait after giving the digoxin dose before you get a digoxin level?	How long after giving the digoxin dose before you get a digoxin level?	true
151	How long should you wait after giving the digoxin dose before you get a digoxin level?	What is the cause and treatment of this old man's stomatitis?	false
152	Doctor X's question asked of Doctor Y.  This hospitalized patient with bilateral pleural effusions of unknown etiology now has confusion and a pCO2 of 50.  Is that pCO2 high enough to cause confusion?  (pO2 = 74)	Patient with pleural effusions, confusion, pCO2 50. Could that pCO2 explain confusion?	true
153	Doctor X's question asked of Doctor Y.  This hospitalized patient with bilateral pleural effusions of unknown etiology now has confusion and a pCO2 of 50.  Is that pCO2 high enough to cause confusion?  (pO2 = 74)	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
154	How long should you leave a patient on Coumadin AND heparin?  Can I stop the heparin as soon as the protime is therapeutic?	How long to leave patient on Coumadin AND heparin?  Stop heparin when protime okay?	true
155	How long should you leave a patient on Coumadin AND heparin?  Can I stop the heparin as soon as the protime is therapeutic?	What are the indications for getting a digoxin level?	false
156	How soon should you ambulate a patient with a deep vein thrombosis?	How soon should you ambulate a patient with a deep vein thrombosis?	true
157	How soon should you ambulate a patient with a deep vein thrombosis?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
158	How old is it still safe to give a woman birth control pills?	How old is it still safe to give a woman birth control pills?	true
159	What is good treatment for aphthous ulcers in the mouth?	What is good treatment for aphthous ulcers in the mouth?	true
160	What should you do for asymptomatic carotid bruits or bruits in general?  Folic acid?,  Vitamin B1?  Aspirin?	What to do for asymptomatic carotid bruits or carotid bruits in general?	true
161	What should you do for asymptomatic carotid bruits or bruits in general?  Folic acid?,  Vitamin B1?  Aspirin?	Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?	false
162	What are the criteria for obsessive compulsive disorder in a male teenager (he's been doing a lot of handwashing and so on)?	What are criteria for obsessive compulsive disorder in male teenager, doing lots of handwashing and so on?	true
163	Is obsessive compulsive disorder hereditary (mother has the diagnosis)?	Is obsessive compulsive disorder hereditary (mother has the diagnosis)?	true
164	Obstetric patient had an ultrasound and the estimated fetal weight on the ultrasound was in grams.  I would have liked to know what is was in pounds so I could tell the mother.	Estimated fetal weight on ultrasound in grams; what is it in pounds so I can tell mother?	true
165	Obstetric patient had an ultrasound and the estimated fetal weight on the ultrasound was in grams.  I would have liked to know what is was in pounds so I could tell the mother.	Let's give these immunizations.  That's right isn't it?	false
166	What is the diagnosis for this rash that looks like impetigo, comes every April and May?	What is this rash, looks like impetigo, comes every April and May?	true
167	What is the diagnosis for this rash that looks like impetigo, comes every April and May?	How should I treat polymenorrhea in a 14-year-old girl?	false
168	This woman has Herpes zoster on her chest.  Which dermatome is it?	This woman has Herpes zoster on her chest.  Which dermatome is it?	true
169	This woman has Herpes zoster on her chest.  Which dermatome is it?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
170	This woman takes Premarin 0.625 milligrams for osteoporosis prophylaxis but she got sore breasts.  Is there a smaller size Premarin like 0.3 milligrams?	Patient got sore breasts from Premarin 0.625 milligrams.  Is there a smaller pill?	true
171	This woman takes Premarin 0.625 milligrams for osteoporosis prophylaxis but she got sore breasts.  Is there a smaller size Premarin like 0.3 milligrams?	What is the other drug besides Famvir and acyclovir for Herpes Zoster?	false
172	A woman with bad acne, status post bilateral tubal ligation is on Accutane.  Dermatologist put her on oral contraceptive too.  Why?	Patient status post bilateral tubal ligation on Accutane for acne.  Dermatologist put her on oral contraceptives too.  Why?	true
173	A woman with bad acne, status post bilateral tubal ligation is on Accutane.  Dermatologist put her on oral contraceptive too.  Why?	What antibiotic should I use for this diabetic patient's infected foot ulcer?	false
174	An old man went for eye surgery to have a cataract removed.  I did a physical exam for this.  I could not see the disk and could not test the ophthalmic nerve.  Which cranial nerve number is the ophthalmic nerve so I can dictate that I could not test it.	Did pre-cataract physical exam. Which cranial nerve number is the ophthalmic nerve?	true
175	An old man went for eye surgery to have a cataract removed.  I did a physical exam for this.  I could not see the disk and could not test the ophthalmic nerve.  Which cranial nerve number is the ophthalmic nerve so I can dictate that I could not test it.	How should I treat polymenorrhea in a 14-year-old girl?	false
176	His nurse's daughter had a tumor on her knee (distal femur).  It was increasing in size but looked like a benign osteochondroma.  Is it an osteochondroma even though increasing in size?	Patient with enlarging tumor distal femur, looks like osteochondroma.  Is it?	true
177	The local pharmacist had a malignant melanoma.  When the pathology report came back I needed to look up the classification system for depth of involvement.	Patient with malignant melanoma; on pathology report, how to interpret Clark levels?	true
178	The local pharmacist had a malignant melanoma.  When the pathology report came back I needed to look up the classification system for depth of involvement.	How should I treat polymenorrhea in a 14-year-old girl?	false
179	A man had a tumor on his tongue.  I did not know what it was so I referred him to an otolaryngologist.  The question was "What is this tumor on the tongue?"	What is this tumor on his tongue?	true
180	A man had a tumor on his tongue.  I did not know what it was so I referred him to an otolaryngologist.  The question was "What is this tumor on the tongue?"	72-year-old woman, chronic lymphocytic leukemia. How should I treat her?	false
181	What are the Supplemental Security Income (SSI) criteria for disability?	What are the Supplemental Security Income (SSI) criteria for disability?	true
182	Should a gestational diabetic have any antenatal fetal well-being testing done?	Should a gestational diabetic have any antenatal fetal well-being testing done?	true
183	Should a gestational diabetic have any antenatal fetal well-being testing done?	Let's give these immunizations.  That's right isn't it?	false
184	What is the optimal treatment for depression during pregnancy?  (this patient was on Paxil)	What is optimal treatment for depression in pregnancy? (now on Paxil)	true
185	What is the optimal treatment for depression during pregnancy?  (this patient was on Paxil)	After starting treatment for streptococcal sore throat, how long to stay out of work or school?	false
186	Is it really safe to use Paxil during the first trimester of pregnancy.  I think it is but I want to confirm that it is.	Is it safe to use Paxil during the first trimester of pregnancy?	true
187	Is it really safe to use Paxil during the first trimester of pregnancy.  I think it is but I want to confirm that it is.	How should I workup this baby with a single umbilical artery?	false
188	What is the common serum marker for ovarian cancer?  I want to say carcinoembryonic antigen (CEA) but that's for colon cancer.  I just don't remember.	What is the serum marker for ovarian cancer?	true
189	What is the common serum marker for ovarian cancer?  I want to say carcinoembryonic antigen (CEA) but that's for colon cancer.  I just don't remember.	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
190	Why does he have eye pain and blurred vision (referred to ophthalmologist)?	Why does he have eye pain and blurred vision?	true
191	Why does he have eye pain and blurred vision (referred to ophthalmologist)?	What is causing his fatigue?  I think it's viral but not sure.	false
192	What is the dose of Imodium?	What is the dose of Imodium?	true
193	What drugs are folic acid antagonists?	What drugs are folic acid antagonists?	true
194	Would Vitamin B12 help this patient feel better (on chemotherapy for breast cancer)?	Would vitamin B12 help this patient feel better (on chemotherapy for breast cancer)?	true
195	Would Vitamin B12 help this patient feel better (on chemotherapy for breast cancer)?	Let's give these immunizations.  That's right isn't it?	false
196	What is the dose of oral Lamisil?	What is the dose of oral Lamisil?	true
197	Which dose of Premarin is green?	Which dose of Premarin is green?	true
198	Which dose of Premarin is green?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
199	How should I treat this patient with seizures?	How should I treat this patient with seizures?	true
200	How should I treat this patient with seizures?	What is the dose of Famvir?	false
201	Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?	Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?	true
202	Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?	How should I treat polymenorrhea in a 14-year-old girl?	false
203	Does this patient with a 3-week-old fracture of the distal head of the fifth metatarsal need any treatment?	Patient with 3-week-old fracture of distal head fifth metatarsal, need any treatment?	true
